f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.9,7.0,0.5,6.538555298,4.778555298,1.76,1.0,0.0,
0.1,7.0,0.6,483.4774211,,,,100.0,
0.2,7.0,0.6,120.8693553,-170.5406447,291.41,31243.08,2.0,
0.3,7.0,0.6,53.71971345,-2.98028655,56.7,227.93,0.0,
0.4,7.0,0.6,30.21733882,10.99733882,19.22,33.28,0.0,
0.5,7.0,0.6,19.33909684,11.43909684,7.9,9.52,0.0,
0.6,7.0,0.6,13.42992836,8.609928363,4.82,11.58,0.0,
0.7,7.0,0.6,9.866886144,6.766886144,3.1,2.87,0.0,
0.8,7.0,0.6,7.554334704,5.194334704,2.36,1.26,0.0,
0.9,7.0,0.6,5.96885705,4.30885705,1.66,0.51,0.0,
0.1,7.0,0.7,447.6131142,,,,100.0,
0.2,7.0,0.7,111.9032785,-204.1167215,316.02,17536.28,4.0,
0.3,7.0,0.7,49.73479047,-2.285209534,52.02,241.82,0.0,
0.4,7.0,0.7,27.97581964,9.215819637,18.76,37.45,0.0,
0.5,7.0,0.7,17.90452457,9.164524568,8.74,13.46,0.0,
0.6,7.0,0.7,12.43369762,7.573697617,4.86,7.27,0.0,
0.7,7.0,0.7,9.134961514,6.334961514,2.8,3.31,0.0,
0.8,7.0,0.7,6.993954909,4.753954909,2.24,1.04,0.0,
0.9,7.0,0.7,5.52608783,4.00608783,1.52,0.5,0.0,
0.1,7.0,0.8,418.7037288,,,,100.0,
0.2,7.0,0.8,104.6759322,-251.0140678,355.69,31575.4,10.0,
0.3,7.0,0.8,46.52263653,-6.797363468,53.32,197.65,0.0,
0.4,7.0,0.8,26.16898305,6.408983049,19.76,43.08,0.0,
0.5,7.0,0.8,16.74814915,10.06814915,6.68,11.04,0.0,
0.6,7.0,0.8,11.63065913,7.710659133,3.92,2.44,0.0,
0.7,7.0,0.8,8.544974057,6.024974057,2.52,1.93,0.0,
0.8,7.0,0.8,6.542245762,4.462245762,2.08,0.85,0.0,
0.9,7.0,0.8,5.169181837,3.549181837,1.62,0.52,0.0,
0.1,7.0,0.9,394.7576612,,,,100.0,
0.2,7.0,0.9,98.68941531,-279.7505847,378.44,53416.48,10.0,
0.3,7.0,0.9,43.86196236,-13.73803764,57.6,326.37,0.0,
0.4,7.0,0.9,24.67235383,8.452353828,16.22,34.79,0.0,
0.5,7.0,0.9,15.79030645,7.99030645,7.8,10.69,0.0,
0.6,7.0,0.9,10.96549059,6.80549059,4.16,3.85,0.0,
0.7,7.0,0.9,8.056278801,5.136278801,2.92,2.4,0.0,
0.8,7.0,0.9,6.168088457,3.968088457,2.2,1.02,0.0,
0.9,7.0,0.9,4.873551373,3.313551373,1.56,0.41,0.0,
0.1,9.0,0.0,,,,,100.0,
0.2,9.0,0.0,,,,,100.0,
0.3,9.0,0.0,,,,,100.0,
0.4,9.0,0.0,,,34.333333333333336,187.39837398373984,16.0,
0.5,9.0,0.0,,,15.0,47.333333333333336,2.0,
0.6,9.0,0.0,,,7.34,16.55551020408163,0.0,
0.7,9.0,0.0,,,3.18,3.0893877551020408,0.0,
0.8,9.0,0.0,,,2.72,6.2057142857142855,0.0,
0.9,9.0,0.0,,,1.72,0.6546938775510204,0.0,
0.1,9.0,0.05,,,,,100.0,
0.2,9.0,0.05,,,320.32,7015.405714285715,0.0,
0.3,9.0,0.05,,,85.96,465.30448979591836,0.0,
0.4,9.0,0.05,,,32.62,102.73020408163265,0.0,
0.5,9.0,0.05,,,13.22,33.64448979591837,0.0,
0.6,9.0,0.05,,,5.76,12.594285714285714,0.0,
0.7,9.0,0.05,,,3.28,4.4097959183673465,0.0,
0.8,9.0,0.05,,,2.58,4.901632653061225,0.0,
0.9,9.0,0.05,,,2.04,1.9575510204081632,0.0,
0.1,9.0,0.1,1234.869426,428.1994263,806.67,24166.33,94.0,
0.2,9.0,0.1,308.7173566,77.93735657,230.78,3080.79,0.0,
0.3,9.0,0.1,137.207714,57.84771403,79.36,364.48,0.0,
0.4,9.0,0.1,77.17933914,48.81933914,28.36,87.99,0.0,
0.5,9.0,0.1,49.39477705,35.79477705,13.6,49.31,0.0,
0.6,9.0,0.1,34.30192851,27.02192851,7.28,21.19,0.0,
0.7,9.0,0.1,25.20141686,21.38141686,3.82,6.15,0.0,
0.8,9.0,0.1,19.29483479,16.87483479,2.42,2.9,0.0,
0.9,9.0,0.1,15.24530156,13.40530156,1.84,3.28,0.0,
0.1,9.0,0.2,873.1845452,36.04454521,837.14,5966.81,86.0,
0.2,9.0,0.2,218.2961363,-7.123863697,225.42,3257.55,0.0,
0.3,9.0,0.2,97.02050502,27.96050502,69.06,306.91,0.0,
0.4,9.0,0.2,54.57403408,29.59403408,24.98,68.84,0.0,
0.5,9.0,0.2,34.92738181,24.24738181,10.68,28.59,0.0,
0.6,9.0,0.2,24.25512626,18.15512626,6.1,14.17,0.0,
0.7,9.0,0.2,17.82009276,13.62009276,4.2,9.55,0.0,
0.8,9.0,0.2,13.64350852,11.20350852,2.44,2.7,0.0,
