f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,7.0,0.4,592.1364919,-81.23350813,673.37,28023.18,30.0,
0.2,7.0,0.4,148.034123,35.53412297,112.5,433.56,0.0,
0.3,7.0,0.4,65.79294354,25.99294354,39.8,99.39,0.0,
0.4,7.0,0.4,37.00853074,18.82853074,18.18,19.42,0.0,
0.5,7.0,0.4,23.68545967,12.40545967,11.28,8.29,0.0,
0.6,7.0,0.4,16.44823589,9.128235885,7.32,5.0,0.0,
0.7,7.0,0.4,12.0844182,7.964418201,4.12,2.23,0.0,
0.8,7.0,0.4,9.252132685,5.832132685,3.42,1.8,0.0,
0.9,7.0,0.4,7.31032706,4.65032706,2.66,0.72,0.0,
0.1,7.0,0.5,529.6229791,-134.1670209,663.79,34416.73,62.0,
0.2,7.0,0.5,132.4057448,19.48574478,112.92,633.91,0.0,
0.3,7.0,0.5,58.84699768,23.50699768,35.34,51.41,0.0,
0.4,7.0,0.5,33.10143619,16.20143619,16.9,12.95,0.0,
0.5,7.0,0.5,21.18491916,11.30491916,9.88,8.19,0.0,
0.6,7.0,0.5,14.71174942,8.69174942,6.02,4.59,0.0,
0.7,7.0,0.5,10.80863223,6.868632227,3.94,1.57,0.0,
0.8,7.0,0.5,8.275359049,5.115359049,3.16,1.24,0.0,
0.9,7.0,0.5,6.538555298,4.058555298,2.48,0.5,0.0,
0.1,7.0,0.6,483.4774211,-205.5225789,689.0,39514.4,88.0,
0.2,7.0,0.6,120.8693553,11.10935526,109.76,426.84,0.0,
0.3,7.0,0.6,53.71971345,20.41971345,33.3,39.52,0.0,
0.4,7.0,0.6,30.21733882,13.79733882,16.42,13.55,0.0,
0.5,7.0,0.6,19.33909684,9.679096842,9.66,6.11,0.0,
0.6,7.0,0.6,13.42992836,7.429928363,6.0,4.73,0.0,
0.7,7.0,0.6,9.866886144,5.446886144,4.42,2.33,0.0,
0.8,7.0,0.6,7.554334704,4.454334704,3.1,1.32,0.0,
0.9,7.0,0.6,5.96885705,3.64885705,2.32,0.3,0.0,
0.1,7.0,0.7,447.6131142,-250.9868858,698.6,26937.8,90.0,
0.2,7.0,0.7,111.9032785,-2.636721451,114.54,503.85,0.0,
0.3,7.0,0.7,49.73479047,16.03479047,33.7,32.91,0.0,
0.4,7.0,0.7,27.97581964,11.65581964,16.32,17.45,0.0,
0.5,7.0,0.7,17.90452457,9.524524568,8.38,3.38,0.0,
0.6,7.0,0.7,12.43369762,6.853697617,5.58,2.98,0.0,
0.7,7.0,0.7,9.134961514,5.254961514,3.88,1.13,0.0,
0.8,7.0,0.7,6.993954909,4.073954909,2.92,0.61,0.0,
0.9,7.0,0.7,5.52608783,3.04608783,2.48,0.62,0.0,
0.1,7.0,0.8,418.7037288,,,,100.0,
0.2,7.0,0.8,104.6759322,-22.8440678,127.52,1801.52,0.0,
0.3,7.0,0.8,46.52263653,14.82263653,31.7,29.32,0.0,
0.4,7.0,0.8,26.16898305,10.56898305,15.6,14.45,0.0,
0.5,7.0,0.8,16.74814915,7.888149151,8.86,5.1,0.0,
0.6,7.0,0.8,11.63065913,6.250659133,5.38,2.73,0.0,
0.7,7.0,0.8,8.544974057,4.964974057,3.58,0.82,0.0,
0.8,7.0,0.8,6.542245762,3.502245762,3.04,1.14,0.0,
0.9,7.0,0.8,5.169181837,2.629181837,2.54,0.58,0.0,
0.1,7.0,0.9,394.7576612,,,,100.0,
0.2,7.0,0.9,98.68941531,-53.23058469,151.92,4702.85,0.0,
0.3,7.0,0.9,43.86196236,12.08196236,31.78,34.22,0.0,
0.4,7.0,0.9,24.67235383,9.832353828,14.84,12.55,0.0,
0.5,7.0,0.9,15.79030645,7.31030645,8.48,4.5,0.0,
0.6,7.0,0.9,10.96549059,5.74549059,5.22,1.89,0.0,
0.7,7.0,0.9,8.056278801,4.176278801,3.88,1.01,0.0,
0.8,7.0,0.9,6.168088457,3.288088457,2.88,0.48,0.0,
0.9,7.0,0.9,4.873551373,2.433551373,2.44,0.29,0.0,
0.1,9.0,0.0,,,,,100.0,
0.2,9.0,0.0,,,,,100.0,
0.3,9.0,0.0,,,,,100.0,
0.4,9.0,0.0,,,29.083333333333332,105.01418439716312,4.0,
0.5,9.0,0.0,,,9.14,19.388163265306122,0.0,
0.6,9.0,0.0,,,4.12,3.944489795918367,0.0,
0.7,9.0,0.0,,,2.7,1.0714285714285714,0.0,
0.8,9.0,0.0,,,2.06,0.5473469387755102,0.0,
0.9,9.0,0.0,,,1.56,0.25142857142857145,0.0,
0.1,9.0,0.05,,,981.5,4.5,96.0,
0.2,9.0,0.05,,,310.1,4984.010204081633,0.0,
0.3,9.0,0.05,,,83.06,348.2616326530612,0.0,
0.4,9.0,0.05,,,27.08,37.74857142857143,0.0,
0.5,9.0,0.05,,,8.92,29.666938775510204,0.0,
0.6,9.0,0.05,,,3.68,2.303673469387755,0.0,
0.7,9.0,0.05,,,2.58,0.8608163265306122,0.0,
0.8,9.0,0.05,,,1.9,0.336734693877551,0.0,
0.9,9.0,0.05,,,1.54,0.45755102040816326,0.0,
0.1,9.0,0.1,1234.869426,324.1794263,910.69,3620.63,68.0,
0.2,9.0,0.1,308.7173566,52.63735657,256.08,4785.75,0.0,
0.3,9.0,0.1,137.207714,33.34771403,103.86,1579.14,0.0,
0.4,9.0,0.1,77.17933914,27.13933914,50.04,368.53,0.0,
0.5,9.0,0.1,49.39477705,26.23477705,23.16,63.44,0.0,
0.6,9.0,0.1,34.30192851,20.84192851,13.46,47.6,0.0,
0.7,9.0,0.1,25.20141686,17.22141686,7.98,18.31,0.0,
0.8,9.0,0.1,19.29483479,13.91483479,5.38,12.73,0.0,
0.9,9.0,0.1,15.24530156,12.04530156,3.2,6.73,0.0,
0.1,9.0,0.2,873.1845452,126.3745452,746.81,15681.87,14.0,
0.2,9.0,0.2,218.2961363,64.5961363,153.7,1000.62,0.0,
0.3,9.0,0.2,97.02050502,37.90050502,59.12,313.54,0.0,
0.4,9.0,0.2,54.57403408,27.51403408,27.06,46.14,0.0,
0.5,9.0,0.2,34.92738181,18.50738181,16.42,47.15,0.0,
0.6,9.0,0.2,24.25512626,13.63512626,10.62,22.57,0.0,
0.7,9.0,0.2,17.82009276,11.80009276,6.02,8.92,0.0,
0.8,9.0,0.2,13.64350852,9.623508519,4.02,6.31,0.0,
0.9,9.0,0.2,10.78005611,7.640056114,3.14,2.61,0.0,
0.1,9.0,0.3,712.9521957,33.37219569,679.58,22694.05,38.0,
0.2,9.0,0.3,178.2380489,41.35804892,136.88,1173.37,0.0,
0.3,9.0,0.3,79.21691063,32.81691063,46.4,130.9,0.0,
0.4,9.0,0.3,44.55951223,22.25951223,22.3,43.36,0.0,
0.5,9.0,0.3,28.51808783,15.03808783,13.48,10.17,0.0,
0.6,9.0,0.3,19.80422766,10.74422766,9.06,13.49,0.0,
0.7,9.0,0.3,14.55004481,9.17004481,5.38,7.42,0.0,
0.8,9.0,0.3,11.13987806,7.839878058,3.3,2.5,0.0,
0.9,9.0,0.3,8.801878959,6.181878959,2.62,0.81,0.0,
0.1,9.0,0.4,617.4347131,-122.0052869,739.44,21525.2,64.0,
0.2,9.0,0.4,154.3586783,23.67867829,130.68,648.83,0.0,
0.3,9.0,0.4,68.60385702,26.04385702,42.56,58.37,0.0,
0.4,9.0,0.4,38.58966957,17.66966957,20.92,20.69,0.0,
0.5,9.0,0.4,24.69738853,12.47738853,12.22,10.3,0.0,
0.6,9.0,0.4,17.15096425,10.41096425,6.74,5.91,0.0,
0.7,9.0,0.4,12.60070843,7.820708432,4.78,4.54,0.0,
0.8,9.0,0.4,9.647417393,6.567417393,3.08,0.69,0.0,
0.9,9.0,0.4,7.62265078,5.22265078,2.4,0.41,0.0,
0.1,9.0,0.5,552.2503961,43.45039611,508.8,4140.7,90.0,
0.2,9.0,0.5,138.062599,5.282599027,132.78,823.24,0.0,
0.3,9.0,0.5,61.36115512,21.56115512,39.8,51.92,0.0,
0.4,9.0,0.5,34.51564976,15.09564976,19.42,13.55,0.0,
0.5,9.0,0.5,22.09001584,11.39001584,10.7,10.5,0.0,
0.6,9.0,0.5,15.34028878,8.720288781,6.62,6.85,0.0,
0.7,9.0,0.5,11.27041625,7.110416247,4.16,2.01,0.0,
0.8,9.0,0.5,8.628912439,5.488912439,3.14,0.65,0.0,
0.9,9.0,0.5,6.817906125,4.257906125,2.56,0.62,0.0,
0.1,9.0,0.6,504.1333322,-314.1966678,818.33,12254.33,94.0,
0.2,9.0,0.6,126.0333331,-18.14666694,144.18,1245.58,0.0,
0.3,9.0,0.6,56.01481469,18.31481469,37.7,39.32,0.0,
0.4,9.0,0.6,31.50833326,13.86833326,17.64,25.5,0.0,
0.5,9.0,0.6,20.16533329,9.565333289,10.6,12.37,0.0,
0.6,9.0,0.6,14.00370367,7.843703673,6.16,4.79,0.0,
0.7,9.0,0.6,10.28843535,6.188435352,4.1,2.83,0.0,
0.8,9.0,0.6,7.877083316,4.737083316,3.14,0.82,0.0,
0.9,9.0,0.6,6.223868299,3.683868299,2.54,0.46,0.0,
0.1,9.0,0.7,466.7367719,,,,100.0,
0.2,9.0,0.7,116.684193,-53.09580701,169.78,5985.73,0.0,
0.3,9.0,0.7,51.85964133,15.11964133,36.74,49.71,0.0,
0.4,9.0,0.7,29.17104825,13.11104825,16.06,15.28,0.0,
0.5,9.0,0.7,18.66947088,8.469470878,10.2,11.59,0.0,
0.6,9.0,0.7,12.96491033,7.244910332,5.72,3.72,0.0,
0.7,9.0,0.7,9.525240244,5.485240244,4.04,1.35,0.0,
0.8,9.0,0.7,7.292762062,4.232762062,3.06,0.55,0.0,
0.9,9.0,0.7,5.76218237,3.30218237,2.46,0.46,0.0,
0.1,9.0,0.8,436.5922726,,,,100.0,
