f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.3,5.0,0.05,,,198.02,9053.693469387756,0.0,
0.4,5.0,0.05,,,88.12,1755.2914285714285,0.0,
0.5,5.0,0.05,,,42.0,939.6734693877551,0.0,
0.6,5.0,0.05,,,25.24,382.7167346938775,0.0,
0.7,5.0,0.05,,,10.84,176.01469387755103,0.0,
0.8,5.0,0.05,,,7.26,196.07387755102042,0.0,
0.9,5.0,0.05,,,4.56,33.394285714285715,0.0,
0.1,5.0,0.1,1146.325652,301.7056518,844.62,11246.65,58.0,
0.2,5.0,0.1,286.581413,-14.43858705,301.02,12919.08,0.0,
0.3,5.0,0.1,127.3695169,32.60951687,94.76,1463.0,0.0,
0.4,5.0,0.1,71.64535324,26.96535324,44.68,330.71,0.0,
0.5,5.0,0.1,45.85302607,20.03302607,25.82,169.7,0.0,
0.6,5.0,0.1,31.84237922,18.92237922,12.92,85.95,0.0,
0.7,5.0,0.1,23.39440106,14.65440106,8.74,19.3,0.0,
0.8,5.0,0.1,17.91133831,12.67133831,5.24,8.71,0.0,
0.9,5.0,0.1,14.15216854,10.47216854,3.68,15.9,0.0,
0.1,5.0,0.2,810.5746418,157.4146418,653.16,20619.09,14.0,
0.2,5.0,0.2,202.6436605,54.82366046,147.82,2432.56,0.0,
0.3,5.0,0.2,90.06384909,29.18384909,60.88,454.03,0.0,
0.4,5.0,0.2,50.66091512,20.06091512,30.6,173.06,0.0,
0.5,5.0,0.2,32.42298567,16.40298567,16.02,54.35,0.0,
0.6,5.0,0.2,22.51596227,13.15596227,9.36,12.19,0.0,
0.7,5.0,0.2,16.54233963,10.96233963,5.58,5.76,0.0,
0.8,5.0,0.2,12.66522878,8.725228779,3.94,3.53,0.0,
0.9,5.0,0.2,10.00709434,7.107094344,2.9,2.61,0.0,
0.1,5.0,0.3,661.8314237,57.79142365,604.04,29821.58,2.0,
0.2,5.0,0.3,165.4578559,43.37785591,122.08,1137.01,0.0,
0.3,5.0,0.3,73.53682485,32.05682485,41.48,166.25,0.0,
