f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.7,5.0,0.2,16.54233963,14.66233963,1.88,0.35,0.0,
0.8,5.0,0.2,12.66522878,11.16522878,1.5,0.54,0.0,
0.9,5.0,0.2,10.00709434,8.987094344,1.02,0.02,0.0,
0.1,5.0,0.3,661.8314237,89.31142365,572.52,18890.5,0.0,
0.2,5.0,0.3,165.4578559,14.83785591,150.62,2121.87,0.0,
0.3,5.0,0.3,73.53682485,31.27682485,42.26,126.4,0.0,
0.4,5.0,0.3,41.36446398,22.04446398,19.32,295.81,0.0,
0.5,5.0,0.3,26.47325695,19.29325695,7.18,12.84,0.0,
0.6,5.0,0.3,18.38420621,16.16420621,2.22,0.58,0.0,
0.7,5.0,0.3,13.50676375,11.58676375,1.92,0.52,0.0,
0.8,5.0,0.3,10.34111599,8.941115995,1.4,0.29,0.0,
0.9,5.0,0.3,8.170758317,7.110758317,1.06,0.06,0.0,
0.1,5.0,0.4,573.1628259,115.8628259,457.3,10341.43,6.0,
0.2,5.0,0.4,143.2907065,23.49070648,119.8,1075.63,0.0,
0.3,5.0,0.4,63.68475843,24.06475843,39.62,275.95,0.0,
0.4,5.0,0.4,35.82267662,21.34267662,14.48,51.52,0.0,
0.5,5.0,0.4,22.92651304,16.50651304,6.42,10.62,0.0,
0.6,5.0,0.4,15.92118961,13.56118961,2.36,0.81,0.0,
0.7,5.0,0.4,11.69720053,9.677200529,2.02,0.47,0.0,
0.8,5.0,0.4,8.955669155,7.475669155,1.48,0.83,0.0,
0.9,5.0,0.4,7.07608427,5.97608427,1.1,0.09,0.0,
0.1,5.0,0.5,512.6524164,47.09241636,465.56,16520.74,0.0,
0.2,5.0,0.5,128.1631041,25.10310409,103.06,709.24,0.0,
0.3,5.0,0.5,56.9613796,18.4013796,38.56,180.29,0.0,
0.4,5.0,0.5,32.04077602,19.32077602,12.72,21.39,0.0,
0.5,5.0,0.5,20.50609665,15.06609665,5.44,5.56,0.0,
0.6,5.0,0.5,14.2403449,11.9803449,2.26,0.44,0.0,
0.7,5.0,0.5,10.46229421,8.522294211,1.94,0.34,0.0,
0.8,5.0,0.5,8.010194006,6.570194006,1.44,0.37,0.0,
